Anime ID,Subject,Question,Correct Response
5114,year,In which year did Fullmetal Alchemist: Brotherhood start streaming?,2009.0,"[2007.0, 2014.0, 2018.0]"
5114,episodes,How many episodes does Fullmetal Alchemist: Brotherhood contain?,64,"['220', '25', '24']"
5114,studio,Which studio produced Fullmetal Alchemist: Brotherhood?,Bones,"['Toei Animation', 'Sunrise', 'A-1 Pictures']"
21,year,In which year did One Piece start streaming?,1999.0,"[2020.0, 2011.0, nan]"
21,episodes,How many episodes does One Piece contain?,airing,"['26', '26', '25']"
21,studio,Which studio produced One Piece?,Toei Animation,"['Sunrise', 'White Fox', 'CoMix Wave Films']"
11061,year,In which year did Hunter x Hunter (2011) start streaming?,2011.0,"[2007.0, 2015.0]"
11061,episodes,How many episodes does Hunter x Hunter (2011) contain?,148,"['25', '25']"
11061,studio,Which studio produced Hunter x Hunter (2011)?,Madhouse,"['A-1 Pictures', 'Kyoto Animation', 'Wit Studio']"
9253,year,In which year did Steins;Gate start streaming?,2011.0,"[2007.0, 2016.0, 2002.0]"
9253,episodes,How many episodes does Steins;Gate contain?,24,"['64', '25', '25']"
9253,studio,Which studio produced Steins;Gate?,White Fox,"['Pierrot', 'Kyoto Animation', 'Pierrot']"
1535,year,In which year did Death Note start streaming?,2006.0,"[2002.0, 2019.0, 2007.0]"
1535,episodes,How many episodes does Death Note contain?,37,"['1', '25']"
1535,studio,Which studio produced Death Note?,Madhouse,"['Kyoto Animation', 'Madhouse']"
16498,year,In which year did Shingeki no Kyojin start streaming?,2013.0,"[2011.0, 2008.0, nan]"
16498,episodes,How many episodes does Shingeki no Kyojin contain?,25,"['26', '24']"
16498,studio,Which studio produced Shingeki no Kyojin?,Wit Studio,"['Kyoto Animation', 'Pierrot', 'Sunrise']"
1735,year,In which year did Naruto: Shippuuden start streaming?,2007.0,"[2009.0, 2012.0]"
1735,episodes,How many episodes does Naruto: Shippuuden contain?,500,"['12', '220', '25']"
1735,studio,Which studio produced Naruto: Shippuuden?,Pierrot,"['CoMix Wave Films', 'ufotable', 'Sunrise']"
1575,year,In which year did Code Geass: Hangyaku no Lelouch start streaming?,2006.0,"[2013.0, 2011.0, 2018.0]"
1575,episodes,How many episodes does Code Geass: Hangyaku no Lelouch contain?,25,"['366', '26', 'airing']"
1575,studio,Which studio produced Code Geass: Hangyaku no Lelouch?,Sunrise,"['Kyoto Animation', 'CoMix Wave Films', 'Kyoto Animation']"
30,year,In which year did Neon Genesis Evangelion start streaming?,1995.0,"[2011.0, 2011.0, 2019.0]"
30,episodes,How many episodes does Neon Genesis Evangelion contain?,26,"['27', '220', '366']"
30,studio,Which studio produced Neon Genesis Evangelion?,Gainax,"['Kyoto Animation', 'Pierrot']"
38000,year,In which year did Kimetsu no Yaiba start streaming?,2019.0,"[1999.0, 1998.0, 2013.0]"
38000,episodes,How many episodes does Kimetsu no Yaiba contain?,26,"['366', '24', '13']"
38000,studio,Which studio produced Kimetsu no Yaiba?,ufotable,"['Pierrot', 'Toei Animation', 'A-1 Pictures']"
32281,year,In which year did Kimi no Na wa. start streaming?,nan,"[2012.0, 2015.0, 2020.0]"
32281,episodes,How many episodes does Kimi no Na wa. contain?,1,"['24', '500', '25']"
32281,studio,Which studio produced Kimi no Na wa.?,CoMix Wave Films,"['MAPPA', 'A-1 Pictures', 'Bones']"
28851,year,In which year did Koe no Katachi start streaming?,nan,"[2011.0, 2012.0, 2013.0]"
28851,episodes,How many episodes does Koe no Katachi contain?,1,"['25', '366', '220']"
28851,studio,Which studio produced Koe no Katachi?,Kyoto Animation,"['Sunrise', 'Production I.G']"
23273,year,In which year did Shigatsu wa Kimi no Uso start streaming?,2014.0,"[2020.0, 2011.0, 2018.0]"
23273,episodes,How many episodes does Shigatsu wa Kimi no Uso contain?,22,"['26', '220', '12']"
23273,studio,Which studio produced Shigatsu wa Kimi no Uso?,A-1 Pictures,"['White Fox', 'Wit Studio', 'Production I.G']"
40748,year,In which year did Jujutsu Kaisen start streaming?,2020.0,"[2007.0, nan, 1995.0]"
40748,episodes,How many episodes does Jujutsu Kaisen contain?,24,"['26', '26', '25']"
40748,studio,Which studio produced Jujutsu Kaisen?,MAPPA,"['Gainax', 'CoMix Wave Films', 'A-1 Pictures']"
1,year,In which year did Cowboy Bebop start streaming?,1998.0,"[2002.0, 2014.0, 2014.0]"
1,episodes,How many episodes does Cowboy Bebop contain?,26,"['22', '366', '220']"
1,studio,Which studio produced Cowboy Bebop?,Sunrise,"['MAPPA', 'Wit Studio']"
20,year,In which year did Naruto start streaming?,2002.0,"[2004.0, 1998.0, 2015.0]"
20,episodes,How many episodes does Naruto contain?,220,"['64', '25', '27']"
20,studio,Which studio produced Naruto?,Pierrot,"['CoMix Wave Films', 'Kyoto Animation', 'Wit Studio']"
2001,year,In which year did Tengen Toppa Gurren Lagann start streaming?,2007.0,"[2013.0, nan, 1995.0]"
2001,episodes,How many episodes does Tengen Toppa Gurren Lagann contain?,27,"['26', '64', 'airing']"
2001,studio,Which studio produced Tengen Toppa Gurren Lagann?,Gainax,"['A-1 Pictures', 'Madhouse', 'Bones']"
2904,year,In which year did Code Geass: Hangyaku no Lelouch R2 start streaming?,2008.0,"[2016.0, 2006.0]"
2904,episodes,How many episodes does Code Geass: Hangyaku no Lelouch R2 contain?,25,"['22', '366', '220']"
2904,studio,Which studio produced Code Geass: Hangyaku no Lelouch R2?,Sunrise,"['Madhouse', 'White Fox', 'Pierrot']"
20583,year,In which year did Haikyuu!! start streaming?,2014.0,"[2008.0, 2004.0, 2007.0]"
20583,episodes,How many episodes does Haikyuu!! contain?,25,"['26', 'airing']"
20583,studio,Which studio produced Haikyuu!!?,Production I.G,"['Pierrot', 'Kyoto Animation', 'Pierrot']"
269,year,In which year did Bleach start streaming?,2004.0,"[2014.0, 2012.0, 2002.0]"
269,episodes,How many episodes does Bleach contain?,366,"['24', 'airing']"
269,studio,Which studio produced Bleach?,Pierrot,"['White Fox', 'Sunrise', 'Madhouse']"
4181,year,In which year did Clannad: After Story start streaming?,2008.0,"[2019.0, 2013.0, 2018.0]"
4181,episodes,How many episodes does Clannad: After Story contain?,24,"['26', '13']"
4181,studio,Which studio produced Clannad: After Story?,Kyoto Animation,"['CoMix Wave Films', 'Gainax', 'Toei Animation']"
11757,year,In which year did Sword Art Online start streaming?,2012.0,"[2004.0, 2008.0]"
11757,episodes,How many episodes does Sword Art Online contain?,25,"['26', '26']"
11757,studio,Which studio produced Sword Art Online?,A-1 Pictures,"['Gainax', 'Kyoto Animation', 'Toei Animation']"
31240,year,In which year did Re:Zero kara Hajimeru Isekai Seikatsu start streaming?,2016.0,"[2007.0, 2020.0, 2014.0]"
31240,episodes,How many episodes does Re:Zero kara Hajimeru Isekai Seikatsu contain?,25,"['1', '13', '24']"
31240,studio,Which studio produced Re:Zero kara Hajimeru Isekai Seikatsu?,White Fox,"['MAPPA', 'Production I.G', 'Gainax']"
30276,year,In which year did One Punch Man start streaming?,2015.0,"[2007.0, 2014.0, 1999.0]"
30276,episodes,How many episodes does One Punch Man contain?,12,"['148', '26', '26']"
30276,studio,Which studio produced One Punch Man?,Madhouse,"['MAPPA', 'Gainax']"
33352,year,In which year did Violet Evergarden start streaming?,2018.0,"[2006.0, 2004.0]"
33352,episodes,How many episodes does Violet Evergarden contain?,13,"['37', '500', '25']"
33352,studio,Which studio produced Violet Evergarden?,Kyoto Animation,"['Madhouse', 'Sunrise', 'ufotable']"
